local_datetime,site_id,num_days,meter_cost,demand_rate,kW,demand_cost,value,energy_cost,avg_energy_rate,total_cost
2012-01-31,153,31,142.58729,10.4355,159.9272,1668.9202956,57181.49119999975,8028.281364480282,0.14039999999999966,9839.788950080281
2012-01-31,186,31,142.58729,10.4355,414.5208,4325.7318084,131053.14829999344,18399.86202131987,0.14039999999999966,22868.18111971987
2012-01-31,197,31,142.58729,10.4355,461.97439999999995,4820.9338511999995,85646.84250000247,12024.816686999688,0.14039999999999966,16988.337828199685
2012-01-31,213,31,142.58729,10.4355,152.6404,1592.8788941999999,49977.56569999997,7016.850224280068,0.14039999999999966,8752.316408480068
2012-01-31,214,31,142.58729,10.4355,252.3064,2632.9434371999996,60667.5406000016,8517.72270023997,0.14039999999999966,11293.25342743997
2012-01-31,217,31,142.58729,10.4355,328.0212,3423.0652326,88053.56789999444,12362.720933160297,0.14039999999999966,15928.373455760297
2012-01-31,218,31,142.58729,10.4355,388.7484,4056.7839282,130950.5330999978,18385.454847240148,0.14039999999999966,22584.826065440146
2012-01-31,224,31,142.58729,10.4355,424.59240000000005,4430.833990200001,120348.43919999803,16896.920863680345,0.14039999999999966,21470.342143880345
2012-01-31,228,31,142.58729,10.4355,140.3144,1464.2509212,48767.36850000049,6846.938537400034,0.14039999999999966,8453.776748600034
2012-01-31,236,31,142.58729,10.4355,199.4828,2081.7027593999996,60739.781999998464,8527.865392799731,0.14039999999999966,10752.15544219973
2012-01-31,259,31,142.58729,10.4355,348.88559999999995,3640.795678799999,113984.34380000169,16003.40186951992,0.14039999999999966,19786.784838319916
2012-01-31,270,31,142.58729,10.4355,287.4996,3000.2020758,77176.17679999463,10835.535222720475,0.14039999999999966,13978.324588520474
2012-01-31,275,31,142.58729,10.4355,156.1036,1629.0191178,56458.99999999913,7926.843599999964,0.14039999999999966,9698.450007799964
2012-02-29,88,29,133.38811,10.4355,244.7876,2554.4809997999996,86818.44910000851,12189.31025363903,0.14039999999999966,14877.17936343903
2012-02-29,92,29,133.38811,10.4355,54.876,572.6584979999999,20116.149899999695,2824.307445960074,0.14039999999999966,3530.3540539600735
2012-02-29,99,29,133.38811,10.4355,319.04519999999997,3329.3961845999993,58840.38750000403,8261.190405000056,0.14039999999999966,11723.974699600054
2012-02-29,100,29,133.38811,10.4355,222.7,2323.9858499999996,57655.201499997995,8094.790290600429,0.14039999999999966,10552.164250600428
2012-02-29,101,29,133.38811,10.4355,1092.302,11398.717520999999,332338.68169999926,46660.35091067998,0.14039999999999966,58192.45654167998
2012-02-29,103,29,133.38811,10.4355,545.8468,5696.1842814,160045.2991999998,22470.360007680163,0.14039999999999966,28299.932399080164
2012-02-29,109,29,133.38811,10.4355,299.8388,3128.9677973999997,82880.47020000032,11636.418016079691,0.14039999999999966,14898.77392347969
2012-02-29,111,29,133.38811,10.4355,239.66320000000002,2501.0053236,85000.93549999694,11934.131344199634,0.14039999999999966,14568.524777799634
2012-02-29,116,29,133.38811,10.4355,492.3076,5137.475959799999,150008.52819999977,21061.197359279777,0.14039999999999966,26332.061429079775
2012-02-29,136,29,133.38811,10.4355,291.9656,3046.8070187999997,62380.9367999994,8758.283526719926,0.14039999999999966,11938.478655519926
2012-02-29,137,29,133.38811,10.4355,181.9836,1899.0898578,63552.600200000335,8922.785068080151,0.14039999999999966,10955.26303588015
2012-02-29,144,29,133.38811,10.4355,573.756,5987.430737999999,116436.89750000252,16347.740408999736,0.14039999999999966,22468.559256999735
2012-02-29,153,29,133.38811,10.4355,159.9272,1668.9202956,53666.98740000103,7534.845030960487,0.14039999999999966,9337.153436560486
2012-02-29,186,29,133.38811,10.4355,490.8804,5122.5824142,121727.56109999433,17090.54957843967,0.14039999999999966,22346.520102639668
2012-02-29,197,29,133.38811,10.4355,492.77199999999993,5142.322205999999,85103.17660000046,11948.485994639836,0.14039999999999966,17224.196310639833
2012-02-29,213,29,133.38811,10.4355,158.47039999999998,1653.7178591999998,44810.58019999969,6291.405460080086,0.14039999999999966,8078.511429280086
2012-02-29,214,29,133.38811,10.4355,273.44440000000003,2853.5290362,56009.683100001246,7863.759507239986,0.14039999999999966,10850.676653439987
2012-02-29,217,29,133.38811,10.4355,332.2268,3466.9527714,80660.23459999787,11324.6969378406,0.14039999999999966,14925.037819240599
2012-02-29,218,29,133.38811,10.4355,407.2604,4249.965904199999,134123.96679999653,18831.004938720493,0.14039999999999966,23214.35895292049
2012-02-29,224,29,133.38811,10.4355,420.19719999999995,4384.967880599999,116228.9272999984,16318.541392920148,0.14039999999999966,20836.897383520147
2012-02-29,228,29,133.38811,10.4355,144.35399999999998,1506.4061669999996,43947.67779999935,6170.2539631200225,0.14039999999999966,7810.0482401200225
2012-02-29,236,29,133.38811,10.4355,201.9084,2107.0151081999998,55430.96119999822,7782.506952480057,0.14039999999999966,10022.910170680057
2012-02-29,259,29,133.38811,10.4355,360.482,3761.809911,102077.28190000026,14331.650378760263,0.14039999999999966,18226.848399760263
2012-02-29,270,29,133.38811,10.4355,291.1852,3038.6631546,70696.09939999823,9925.732355760321,0.14039999999999966,13097.783620360322
2012-02-29,275,29,133.38811,10.4355,154.4772,1612.0468206,51748.988799999024,7265.558027519742,0.14039999999999966,9010.992958119741
2012-03-31,88,31,142.58729,10.4355,151.84359999999998,1584.5638877999997,63240.47810000707,8878.96312523965,0.14039999999999966,10606.114303039649
2012-03-31,92,31,142.58729,10.4355,54.87599999999999,572.6584979999999,18899.15639999976,2653.4415585599477,0.14039999999999966,3368.6873465599474
2012-03-31,99,31,142.58729,10.4355,283.2448,2955.8011103999997,49846.27460000238,6998.416953840049,0.14039999999999966,10096.805354240048
2012-03-31,100,31,142.58729,10.4355,303.5864,3168.0758772,59124.241099996536,8301.043450440333,0.14039999999999966,11611.706617640331
2012-03-31,101,31,142.58729,10.4355,968.3444,10105.157986199998,241781.87679999572,33946.175502721024,0.14039999999999966,44193.92077892103
2012-03-31,103,31,142.58729,10.4355,614.6712,6414.401307599999,163525.39459999537,22958.965401840254,0.14039999999999966,29515.95399944025
2012-03-31,109,31,142.58729,10.4355,315.09400000000005,3288.163437,96635.54789999998,13567.630925159463,0.14039999999999966,16998.381652159464
2012-03-31,111,31,142.58729,10.4355,148.6652,1551.3956945999998,61916.43020000131,8693.066800080247,0.14039999999999966,10387.049784680246
2012-03-31,116,31,142.58729,10.4355,459.79679999999996,4798.2095064,170227.8344999952,23899.98796379947,0.14039999999999966,28840.78476019947
2012-03-31,136,31,142.58729,10.4355,281.1424,2933.8615151999998,66954.53709999922,9400.417008839837,0.14039999999999966,12476.865814039837
2012-03-31,137,31,142.58729,10.4355,199.5528,2082.4332443999997,70032.65140000024,9832.584256560029,0.14039999999999966,12057.604790960027
2012-03-31,144,31,142.58729,10.4355,454.0156,4737.8797938,72906.82929999768,10236.118833719756,0.14039999999999966,15116.585917519755
2012-03-31,153,31,142.58729,10.4355,157.8228,1646.9598294,47758.132799999876,6705.241845120592,0.14039999999999966,8494.788964520592
2012-03-31,186,31,142.58729,10.4355,389.06759999999997,4060.1149397999993,118895.90319998706,16692.984809279926,0.14039999999999966,20895.687039079923
2012-03-31,197,31,142.58729,10.4355,518.6428,5412.296939399999,101067.91859999968,14189.935771439292,0.14039999999999966,19744.82000083929
2012-03-31,213,31,142.58729,10.4355,213.06,2223.3876299999997,45899.48190000108,6444.287258760088,0.14039999999999966,8810.262178760087
2012-03-31,214,31,142.58729,10.4355,288.2856,3008.4043788,52944.84820000053,7433.4566872800415,0.14039999999999966,10584.448356080042
2012-03-31,217,31,142.58729,10.4355,344.8428,3598.6070394,82923.42929999714,11642.44947371994,0.14039999999999966,15383.64380311994
2012-03-31,218,31,142.58729,10.4355,495.1912,5167.5677676,147255.03759999876,20674.607279040378,0.14039999999999966,25984.76233664038
2012-03-31,224,31,142.58729,10.4355,416.6808,4348.2724884,137423.2244999997,19294.220719800207,0.14039999999999966,23785.08049820021
2012-03-31,228,31,142.58729,10.4355,152.1644,1587.9115961999998,43382.72900000023,6090.9351516000515,0.14039999999999966,7821.434037800052
2012-03-31,236,31,142.58729,10.4355,211.6096,2208.2519807999997,53427.41340000019,7501.2088413602,0.14039999999999966,9852.048112160199
2012-03-31,259,31,142.58729,10.4355,397.25919999999996,4145.5983816,118131.40490000197,16585.64924796013,0.14039999999999966,20873.83491956013
2012-03-31,270,31,142.58729,10.4355,302.24359999999996,3154.0630877999993,72679.69709999578,10204.229472840472,0.14039999999999966,13500.879850640471
2012-03-31,275,31,142.58729,10.4355,154.4776,1612.0509948,52465.33799999923,7366.133455200029,0.14039999999999966,9120.77174000003
2012-04-30,88,30,137.9877,10.4355,154.2164,1609.3252421999998,58607.6236000037,8228.510353439791,0.14039999999999966,9975.823295639791
2012-04-30,92,30,137.9877,10.4355,71.76079999999999,748.8598283999999,18026.341899999883,2530.898402760064,0.14039999999999966,3417.745931160064
2012-04-30,99,30,137.9877,10.4355,281.1388,2933.8239473999997,54348.99960000464,7630.599543840168,0.14039999999999966,10702.411191240168
2012-04-30,100,30,137.9877,10.4355,305.6876,3190.0029497999994,50375.42589999741,7072.709796360455,0.14039999999999966,10400.700446160454
2012-04-30,101,30,137.9877,10.4355,1002.7084,10463.7635082,255470.08179999687,35867.99948472011,0.14039999999999966,46469.750692920104
2012-04-30,103,30,137.9877,10.4355,574.326,5993.378973,135694.65799999898,19051.52998320074,0.14039999999999966,25182.89665620074
2012-04-30,109,30,137.9877,10.4355,359.8068,3754.7638613999998,92090.47800000037,12929.503111199558,0.14039999999999966,16822.254672599556
2012-04-30,111,30,137.9877,10.4355,150.988,1575.635274,57380.57950000497,8056.233361800319,0.14039999999999966,9769.85633580032
2012-04-30,116,30,137.9877,10.4355,510.8852,5331.342504599999,157004.15049999589,22043.382730198893,0.14039999999999966,27512.712934798896
2012-04-30,136,30,137.9877,10.4355,279.86,2920.47903,63791.59340000106,8956.33971335987,0.14039999999999966,12014.80644335987
2012-04-30,137,30,137.9877,10.4355,194.57,2030.4352349999997,68952.20090000123,9680.889006360216,0.14039999999999966,11849.311941360214
2012-04-30,144,30,137.9877,10.4355,379.1776,3956.9078447999996,54633.83459999976,7670.590377839538,0.14039999999999966,11765.485922639537
2012-04-30,153,30,137.9877,10.4355,145.1976,1515.2095547999998,39701.573399998444,5574.100905360177,0.14039999999999966,7227.298160160177
2012-04-30,186,30,137.9877,10.4355,312.7088,3263.2726823999997,96351.56089999007,13527.759150359676,0.14039999999999966,16929.019532759674
2012-04-30,197,30,137.9877,10.4355,497.6996,5193.7441757999995,76659.94730000153,10763.056600919675,0.14039999999999966,16094.788476719674
2012-04-30,213,30,137.9877,10.4355,253.8704,2649.2645592,51383.91590000125,7214.301792360034,0.14039999999999966,10001.554051560033
2012-04-30,214,30,137.9877,10.4355,355.2976,3707.7081047999995,63961.3540000002,8980.174101600052,0.14039999999999966,12825.869906400052
2012-04-30,217,30,137.9877,10.4355,418.43719999999996,4366.6014006,71733.52229999973,10071.38653092001,0.14039999999999966,14575.97563152001
2012-04-30,218,30,137.9877,10.4355,578.4944,6036.8783112,136168.03209999844,19117.9917068406,0.14039999999999966,25292.8577180406
2012-04-30,224,30,137.9877,10.4355,450.96479999999997,4706.043170399999,130087.95819999771,18264.349331280115,0.14039999999999966,23108.380201680116
2012-04-30,228,30,137.9877,10.4355,179.3656,1871.7697188,48638.7534000003,6828.880977360072,0.14039999999999966,8838.638396160071
2012-04-30,236,30,137.9877,10.4355,226.768,2366.4374639999996,54628.23059999931,7669.803576240102,0.14039999999999966,10174.228740240102
2012-04-30,259,30,137.9877,10.4355,375.7232,3920.8594536,105633.03070000211,14830.877510280203,0.14039999999999966,18889.724663880203
2012-04-30,270,30,137.9877,10.4355,366.7468,3827.1862314,62872.11129999862,8827.244426520545,0.14039999999999966,12792.418357920546
2012-04-30,275,30,137.9877,10.4355,157.73,1645.9914149999997,49187.05180000015,6905.862072720019,0.14039999999999966,8689.841187720018
2012-05-31,88,31,142.58729,21.63,275.21680000000003,5952.939384,71027.33810000458,12870.153663719659,0.18119999999999073,18965.68033771966
2012-05-31,92,31,142.58729,21.63,88.6456,1917.4043279999999,23554.019499999064,4267.988333399682,0.18119999999999073,6327.979951399682
2012-05-31,99,31,142.58729,21.63,309.5688,6695.973144,68000.62010000246,12321.71236212016,0.18119999999999073,19160.27279612016
2012-05-31,100,31,142.58729,21.63,411.7856,8906.922528,65872.73639999621,11936.139835680522,0.18119999999999073,20985.64965368052
2012-05-31,101,31,142.58729,21.63,915.5699999999999,19803.779099999996,273102.4700999987,49486.16758211957,0.18119999999999073,69432.53397211956
2012-05-31,103,31,142.58729,21.63,745.1996,16118.667348,187694.82210000476,34010.30176452036,0.18119999999999073,50271.556402520364
2012-05-31,109,31,142.58729,21.63,375.5876,8123.959788,116209.9366999996,21057.24053004013,0.18119999999999073,29323.78760804013
2012-05-31,111,31,142.58729,21.63,269.4552,5828.315976,69540.3933999999,12600.719284080667,0.18119999999999073,18571.62255008067
2012-05-31,116,31,142.58729,21.63,543.396,11753.65548,188967.35869999483,34240.88539643895,0.18119999999999073,46137.12816643895
2012-05-31,136,31,142.58729,21.63,291.9276,6314.393988,67066.77000000024,12152.498723999706,0.18119999999999073,18609.480001999706
2012-05-31,137,31,142.58729,21.63,383.372,8292.33636,91065.96619999854,16501.153075440085,0.18119999999999073,24936.076725440085
2012-05-31,144,31,142.58729,21.63,331.7804,7176.410051999999,69206.7246000005,12540.258497519817,0.18119999999999073,19859.255839519814
2012-05-31,153,31,142.58729,21.63,296.7084,6417.802691999999,72656.11420000154,13165.287893040286,0.18119999999999073,19725.677875040285
2012-05-31,186,31,142.58729,21.63,479.97119999999995,10381.777055999999,126578.83659998694,22936.085191921145,0.18119999999999073,33460.449537921144
2012-05-31,197,31,142.58729,21.63,534.6576,11564.643887999999,116160.7862000008,21048.334459439375,0.18119999999999073,32755.565637439373
2012-05-31,213,31,142.58729,21.63,266.5904,5766.3503519999995,49868.315900000955,9036.138841079983,0.18119999999999073,14945.076483079982
2012-05-31,214,31,142.58729,21.63,410.6164,8881.632732,84551.5425999946,15320.739519119497,0.18119999999999073,24344.959541119497
2012-05-31,217,31,142.58729,21.63,439.46399999999994,9505.606319999999,163065.34779999807,29547.441021359045,0.18119999999999073,39195.63463135905
2012-05-31,218,31,142.58729,21.63,583.1220000000001,12612.928860000002,175864.59249999627,31866.66416100057,0.18119999999999073,44622.18031100057
2012-05-31,224,31,142.58729,21.63,505.46719999999993,10933.255535999999,164020.85590000162,29720.57908908004,0.18119999999999073,40796.42191508004
2012-05-31,228,31,142.58729,21.63,193.63960000000003,4188.424548000001,47358.760699999984,8581.407438839817,0.18119999999999073,12912.419276839817
2012-05-31,236,31,142.58729,21.63,272.2428,5888.611763999999,51816.03429999949,9389.065415160228,0.18119999999999073,15420.264469160227
2012-05-31,259,31,142.58729,21.63,486.38560000000007,10520.520528000001,123555.01859999997,22388.16937032033,0.18119999999999073,33051.27718832033
2012-05-31,270,31,142.58729,21.63,385.17600000000004,8331.356880000001,142921.4520999953,25897.367120519277,0.18119999999999073,34371.311290519276
2012-05-31,275,31,142.58729,21.63,281.312,6084.77856,62612.24719999952,11345.339192640258,0.18119999999999073,17572.705042640257
2012-06-30,88,30,137.9877,21.63,289.4524,6260.855412,69232.9936000047,12545.018440320011,0.18119999999999076,18943.86155232001
2012-06-30,92,30,137.9877,21.63,69.65,1506.5295,24878.599999998358,4508.002319999816,0.18119999999999076,6152.519519999816
2012-06-30,99,30,137.9877,21.63,208.48520000000002,4509.534876000001,41151.89090000026,7456.722631079904,0.18119999999999076,12104.245207079905
